timestamp,ping,download,upload
1638638101076.8188,40.09,91.43,35.36
1638641701111.563,28.76,93.84,37.07
1638645302626.2551,39.16,89.61,26.6
1638648900464.565,25.99,91.91,36.21
1638652500489.6382,15.55,91.62,34.87
1638656100506.638,14.87,86.88,36.91
1638659700537.953,20.59,91.3,36.52
1638663300562.8418,16.55,92.11,37.33
1638666900588.276,19.47,92.82,36.73
1638670500612.098,27.68,91.9,37.79
1638674100636.573,19.36,94.4,37.15
1638677700646.6602,18.39,93.26,37.04
1638681300687.031,22.29,94.41,36.01
1638684900711.0059,29.84,28.54,35.45
1638688500720.798,15.81,90.97,37.01
1638692100749.434,17.06,93.11,36.63
1638695700773.801,17.19,93.58,37.0
1638699300804.562,17.14,94.83,35.81
1638702900813.3992,17.9,92.42,36.86
1638706500852.918,20.27,93.78,38.3
1638710100876.636,20.52,94.3,36.63
1638713700892.575,28.25,82.49,33.47
1638717300916.3179,22.66,86.3,36.91
1638720900947.684,23.66,89.88,36.63
1638724500965.3179,25.52,88.01,36.3
1638728100988.877,15.45,87.49,36.64
1638731701014.303,67.16,18.84,30.9
1638735301037.492,14.44,92.91,34.91
1638738901050.7751,12.71,92.88,36.66
1638742501091.0361,13.65,91.61,37.02
1638746101105.846,15.34,94.33,37.36
1638749700138.59,14.5,94.21,37.17
1638753300159.7568,21.8,94.34,35.82
1638756900178.2441,27.89,93.03,37.5
1638760500209.719,19.52,94.18,37.57
1638764100234.137,17.79,94.19,18.84
1638767700248.861,27.39,94.25,36.17
1638771300272.591,15.72,93.33,36.34
1638774900296.808,15.11,93.54,29.51
1638778500328.772,17.13,95.03,36.49
1638782100354.4978,17.34,95.16,35.48
1638785700381.714,16.93,94.73,36.2
1638789300401.135,24.47,94.26,35.17
1638792900425.346,14.52,74.1,36.07
1638796500449.825,14.5,86.31,33.4
1638800100466.768,35.79,93.9,37.28
1638803700482.81,24.3,91.21,36.4
1638807300522.1118,22.03,90.98,37.38
1638810900546.365,18.6,94.07,36.54
1638814500571.743,15.64,93.41,37.65
1638818100596.449,16.34,82.36,37.34
1638821700619.644,20.25,93.57,37.0
1638825300645.5269,18.24,94.11,37.32
1638828900669.3152,16.48,91.82,36.53
1638832500684.645,16.41,90.5,36.93
1638836100708.957,14.24,94.3,35.54
1638839700740.621,14.25,94.4,37.63
1638843300765.275,15.25,94.27,36.8
1638846900781.535,14.07,94.57,36.58
1638850500812.73,14.56,89.49,36.97
1638854100818.773,36.0,78.46,37.05
1638857700863.529,22.89,91.32,36.45
1638861300877.114,24.52,83.6,37.0
1638864900894.147,20.62,94.01,37.52
1638868500924.779,15.68,94.35,37.06
1638872100956.74,14.81,94.3,36.39
1638875700978.617,28.73,92.83,37.21
1638879301011.008,18.89,94.43,36.2
1638882901027.543,16.24,92.18,35.7
1638886501049.4849,50.15,93.5,35.09
1638890101074.456,31.91,92.16,37.18
1638893701089.4639,34.6,91.22,37.01
1638897300119.588,20.24,87.61,36.39
1638900900135.145,19.22,70.89,35.95
1638904500300.059,19.13,94.85,35.92
1638908100191.0552,24.85,92.51,34.86
1638911700213.4248,14.55,94.28,37.36
1638915300238.973,14.85,94.05,37.4
1638918900253.797,19.08,94.48,36.92
1638922500288.687,17.17,94.61,36.71
1638926100310.563,21.22,94.32,32.04
1638929700329.0789,45.48,93.72,37.26
1638933300362.0579,30.96,78.54,37.24
1638936900376.873,31.91,92.96,37.24
1638940500402.461,19.65,94.19,37.42
1638944100491.434,15.36,91.41,32.45
1638947700457.054,15.98,94.11,36.01
1638951300517.038,19.87,94.37,35.67
1638954900502.856,14.89,94.35,37.48
1638958500561.3489,15.64,93.04,36.67
1638962100549.4622,37.53,91.33,37.85
1638965701096.546,35.64,92.33,35.88
1638969300589.69,36.2,93.85,36.33
1638972900619.072,32.53,64.6,34.8
1638976500642.687,23.84,53.3,37.24
1638980100668.1719,24.49,77.61,36.4
1638983700673.1821,20.05,92.6,33.98
1638987300712.6328,19.38,94.74,37.31
1638990900734.4412,19.65,94.94,35.87
1638994501715.607,19.17,80.42,36.42
1638998100774.328,19.2,92.14,34.99
1639001700791.122,20.03,90.57,35.91
1639005300820.575,20.49,94.13,32.54
1639008900845.253,17.63,88.71,36.08
1639012500868.519,22.16,90.86,36.94
1639016100893.073,19.29,93.03,37.13
1639019700924.088,18.98,95.23,34.15
1639023300948.897,19.63,95.0,37.64
1639026900974.4412,19.55,94.2,37.13
1639030500997.385,15.42,94.39,37.4
1639034101536.458,18.48,94.2,37.37
1639037701041.551,28.09,94.23,25.66
1639041301057.968,17.78,94.13,28.81
1639044901089.8162,22.78,93.98,28.29
1639048501114.681,28.51,92.64,37.52
1639052100139.451,13.26,94.62,35.12
1639055700162.109,15.2,94.42,36.96
1639059300169.9841,22.22,94.62,36.6
1639062900194.875,15.88,94.26,36.96
1639066500233.703,15.65,94.29,34.73
1639070100249.2422,17.0,92.03,37.63
1639073700281.28,14.91,94.2,35.49
1639077300297.62,15.32,89.52,36.29
1639080900322.351,20.5,92.9,27.72
1639084500354.428,13.59,93.82,36.14
1639088100379.184,14.66,87.2,35.59
1639091700401.601,31.03,94.25,34.0
1639095300427.16,21.86,94.26,36.46
1639098900442.566,25.6,93.72,36.7
1639102500468.0122,19.24,95.08,36.89
1639106100488.382,20.14,95.19,36.82
1639109700513.998,19.61,94.95,36.36
